course_id,course_tag,course_duration,modules_completed,total_modules,completion_percentage,course_score,performance_score,target_course_id
4f3eb0d3-dd92-4afe-9c6c-cd1634770a52,Mobile Development,117.0,4.0,7.0,57.14285714285714,73.0,51.4,3c47df7c-1842-40b3-8899-68e3d95f41c8
5233bd5a-1fb4-4022-9ef4-9885ad9b99f4,Software Testing,108.0,3.0,9.0,33.33333333333333,60.0,51.4,ed4cf2ae-f6e7-4e7a-9ab0-a45238edf50a
c388b418-ba14-4b9e-ae1f-b6ec6159ab06,Generative AI,107.0,4.0,9.0,44.44444444444444,26.0,51.4,26992488-3e60-4fa9-aa4b-6d5a4354e20b
8e577a9b-05fd-42e0-b632-df1326c8f571,Mobile Development,159.0,2.0,6.0,33.33333333333333,45.0,70.3076923076923,e320cc11-248f-4fa2-9896-aaab2b4bc1ab
a83b5073-16b7-4acd-b748-514eb1a25314,DevOps,106.0,2.0,7.0,28.57142857142857,92.0,70.3076923076923,106b358b-973e-42b1-9154-94214dc7f604
a795581f-3613-443f-a730-ce6ac79674ae,UI/UX Design,102.0,7.0,9.0,77.77777777777779,20.0,20.0,3edbd79b-fa31-4627-a9e7-a788489c521a
6047372f-c9af-4531-8a73-8bdb89bfb063,Cybersecurity,146.0,3.0,4.0,75.0,80.0,80.0,26992488-3e60-4fa9-aa4b-6d5a4354e20b
71377f20-bed9-410b-9fa7-142e3179e9fe,Software Testing,79.0,1.0,7.0,14.285714285714285,28.0,28.000000000000004,2ff0eb16-b673-41dc-8f43-332b866d7b90
26992488-3e60-4fa9-aa4b-6d5a4354e20b,Mobile Development,75.0,3.0,4.0,75.0,21.0,24.88888888888889,695d5577-cbaa-4e8d-ad22-b8f8de421192
a8d520b2-584e-40f8-81b0-e8e538ff1f0c,Software Testing,106.0,5.0,5.0,100.0,28.0,24.88888888888889,afa0180e-27c9-40c2-90b9-2c36049628da
dd5f09e3-33aa-46a2-aa3b-3644cf18b167,Software Testing,100.0,3.0,6.0,50.0,48.0,48.0,dd5f09e3-33aa-46a2-aa3b-3644cf18b167
7b96c6be-198f-40ea-a457-11b71fc95c61,Cybersecurity,84.0,3.0,7.0,42.85714285714285,88.0,88.0,106b358b-973e-42b1-9154-94214dc7f604
3c47df7c-1842-40b3-8899-68e3d95f41c8,DevOps,161.0,2.0,3.0,66.66666666666666,22.0,34.36363636363636,106b358b-973e-42b1-9154-94214dc7f604
71377f20-bed9-410b-9fa7-142e3179e9fe,Software Testing,79.0,4.0,8.0,50.0,39.0,34.36363636363636,e320cc11-248f-4fa2-9896-aaab2b4bc1ab
90496e5e-acdd-418b-ad38-ad214e7a347e,Web Development,107.0,2.0,10.0,20.0,32.0,44.5,106b358b-973e-42b1-9154-94214dc7f604
90496e5e-acdd-418b-ad38-ad214e7a347e,Web Development,107.0,2.0,10.0,20.0,57.0,44.5,0e49b452-3443-4ce9-a35d-53c845e4f60f
26992488-3e60-4fa9-aa4b-6d5a4354e20b,Mobile Development,75.0,8.0,14.0,57.14285714285714,55.0,74.5,f31ae959-58d2-437c-bf6e-3b76e3d1e479
26992488-3e60-4fa9-aa4b-6d5a4354e20b,Mobile Development,75.0,8.0,14.0,57.14285714285714,94.0,74.5,3a339568-c338-429e-8aef-293a3ea7f5bb
a795581f-3613-443f-a730-ce6ac79674ae,UI/UX Design,102.0,2.0,8.0,25.0,60.0,60.0,f9623129-3998-4702-9949-2c9984428449
ba1779fd-d7f4-488b-8416-d5552dccc631,Data Science,144.0,7.0,8.0,87.5,80.0,80.0,ba1779fd-d7f4-488b-8416-d5552dccc631
3c47df7c-1842-40b3-8899-68e3d95f41c8,DevOps,161.0,3.0,8.0,37.5,29.0,28.33333333333333,c388b418-ba14-4b9e-ae1f-b6ec6159ab06
695d5577-cbaa-4e8d-ad22-b8f8de421192,UI/UX Design,102.0,0.0,1.0,0.0,23.0,28.33333333333333,dd5f09e3-33aa-46a2-aa3b-3644cf18b167
959f0001-a7c8-49f4-8bf7-173b2cb863b4,Web Development,150.0,8.0,11.0,72.72727272727273,80.0,80.0,a83b5073-16b7-4acd-b748-514eb1a25314
5233bd5a-1fb4-4022-9ef4-9885ad9b99f4,Software Testing,108.0,3.0,7.0,42.85714285714285,96.0,96.0,106b358b-973e-42b1-9154-94214dc7f604
ed4cf2ae-f6e7-4e7a-9ab0-a45238edf50a,Mobile Development,128.0,2.0,4.0,50.0,74.0,74.0,e320cc11-248f-4fa2-9896-aaab2b4bc1ab
5233bd5a-1fb4-4022-9ef4-9885ad9b99f4,Software Testing,108.0,4.0,8.0,50.0,82.0,82.0,ed4cf2ae-f6e7-4e7a-9ab0-a45238edf50a
959f0001-a7c8-49f4-8bf7-173b2cb863b4,Web Development,150.0,2.0,10.0,20.0,99.0,99.0,3a339568-c338-429e-8aef-293a3ea7f5bb
3a339568-c338-429e-8aef-293a3ea7f5bb,DevOps,166.0,2.0,5.0,40.0,74.0,74.0,9e83f157-d468-419d-ad33-136689153d82
f9623129-3998-4702-9949-2c9984428449,Mobile Development,175.0,3.0,4.0,75.0,70.0,70.0,a83b5073-16b7-4acd-b748-514eb1a25314
a8d520b2-584e-40f8-81b0-e8e538ff1f0c,Software Testing,106.0,4.0,8.0,50.0,67.0,67.0,ba1779fd-d7f4-488b-8416-d5552dccc631
a795581f-3613-443f-a730-ce6ac79674ae,UI/UX Design,102.0,4.0,7.0,57.14285714285714,94.0,94.0,5233bd5a-1fb4-4022-9ef4-9885ad9b99f4
a795581f-3613-443f-a730-ce6ac79674ae,UI/UX Design,102.0,3.0,5.0,60.0,91.0,91.0,26992488-3e60-4fa9-aa4b-6d5a4354e20b
26992488-3e60-4fa9-aa4b-6d5a4354e20b,Mobile Development,75.0,0.0,3.0,0.0,51.0,50.42857142857143,afa0180e-27c9-40c2-90b9-2c36049628da
f31ae959-58d2-437c-bf6e-3b76e3d1e479,DevOps,129.0,1.0,4.0,25.0,50.0,50.42857142857143,695d5577-cbaa-4e8d-ad22-b8f8de421192
7b96c6be-198f-40ea-a457-11b71fc95c61,Cybersecurity,84.0,1.0,6.0,16.666666666666664,40.0,40.0,a83b5073-16b7-4acd-b748-514eb1a25314
2ff0eb16-b673-41dc-8f43-332b866d7b90,Mobile Development,170.0,5.0,9.0,55.55555555555556,32.0,32.0,ab51c6e7-897f-40b2-8d96-9acc9628a6d7
9e83f157-d468-419d-ad33-136689153d82,UI/UX Design,174.0,4.0,4.0,100.0,97.0,97.0,dd5f09e3-33aa-46a2-aa3b-3644cf18b167
106b358b-973e-42b1-9154-94214dc7f604,Software Testing,168.0,4.0,8.0,50.0,25.0,25.0,695d5577-cbaa-4e8d-ad22-b8f8de421192
106b358b-973e-42b1-9154-94214dc7f604,Software Testing,168.0,4.0,7.0,57.14285714285714,99.0,99.0,6047372f-c9af-4531-8a73-8bdb89bfb063
26992488-3e60-4fa9-aa4b-6d5a4354e20b,Mobile Development,75.0,4.0,5.0,80.0,37.0,37.0,3c47df7c-1842-40b3-8899-68e3d95f41c8
106b358b-973e-42b1-9154-94214dc7f604,Software Testing,168.0,8.0,11.0,72.72727272727273,49.0,49.0,3a339568-c338-429e-8aef-293a3ea7f5bb
3c47df7c-1842-40b3-8899-68e3d95f41c8,DevOps,161.0,7.0,9.0,77.77777777777779,40.0,40.0,a795581f-3613-443f-a730-ce6ac79674ae
c388b418-ba14-4b9e-ae1f-b6ec6159ab06,Generative AI,107.0,4.0,5.0,80.0,71.0,71.0,0e49b452-3443-4ce9-a35d-53c845e4f60f
3a339568-c338-429e-8aef-293a3ea7f5bb,DevOps,166.0,4.0,4.0,100.0,84.0,76.5,695d5577-cbaa-4e8d-ad22-b8f8de421192
695d5577-cbaa-4e8d-ad22-b8f8de421192,UI/UX Design,102.0,1.0,12.0,8.333333333333332,74.0,76.5,c388b418-ba14-4b9e-ae1f-b6ec6159ab06
ba1779fd-d7f4-488b-8416-d5552dccc631,Data Science,144.0,3.0,6.0,50.0,21.0,21.0,dd5f09e3-33aa-46a2-aa3b-3644cf18b167
26992488-3e60-4fa9-aa4b-6d5a4354e20b,Mobile Development,75.0,3.0,3.0,100.0,99.0,73.85714285714286,2ff0eb16-b673-41dc-8f43-332b866d7b90
3a339568-c338-429e-8aef-293a3ea7f5bb,DevOps,166.0,1.0,4.0,25.0,55.0,73.85714285714286,a8d520b2-584e-40f8-81b0-e8e538ff1f0c
a795581f-3613-443f-a730-ce6ac79674ae,UI/UX Design,102.0,6.0,18.0,33.33333333333333,85.0,86.5,3edbd79b-fa31-4627-a9e7-a788489c521a
a795581f-3613-443f-a730-ce6ac79674ae,UI/UX Design,102.0,6.0,18.0,33.33333333333333,88.0,86.5,90496e5e-acdd-418b-ad38-ad214e7a347e
695d5577-cbaa-4e8d-ad22-b8f8de421192,UI/UX Design,102.0,3.0,5.0,60.0,50.0,50.0,3c47df7c-1842-40b3-8899-68e3d95f41c8
7b96c6be-198f-40ea-a457-11b71fc95c61,Cybersecurity,84.0,3.0,10.0,30.0,29.0,29.0,7b96c6be-198f-40ea-a457-11b71fc95c61
3edbd79b-fa31-4627-a9e7-a788489c521a,Generative AI,142.0,6.0,10.0,60.0,52.0,49.42857142857143,26992488-3e60-4fa9-aa4b-6d5a4354e20b
a795581f-3613-443f-a730-ce6ac79674ae,UI/UX Design,102.0,4.0,4.0,100.0,43.0,49.42857142857143,0e49b452-3443-4ce9-a35d-53c845e4f60f
4f3eb0d3-dd92-4afe-9c6c-cd1634770a52,Mobile Development,117.0,3.0,8.0,37.5,25.0,51.28571428571429,6047372f-c9af-4531-8a73-8bdb89bfb063
695d5577-cbaa-4e8d-ad22-b8f8de421192,UI/UX Design,102.0,4.0,9.0,44.44444444444444,33.0,51.28571428571429,3c47df7c-1842-40b3-8899-68e3d95f41c8
9e83f157-d468-419d-ad33-136689153d82,UI/UX Design,174.0,1.0,5.0,20.0,81.0,51.28571428571429,4f3eb0d3-dd92-4afe-9c6c-cd1634770a52
ba1779fd-d7f4-488b-8416-d5552dccc631,Data Science,144.0,3.0,6.0,50.0,89.0,51.28571428571429,e320cc11-248f-4fa2-9896-aaab2b4bc1ab
26992488-3e60-4fa9-aa4b-6d5a4354e20b,Mobile Development,75.0,2.0,5.0,40.0,58.0,57.99999999999999,28584099-5402-4c97-9df7-c41196cebdbe
5233bd5a-1fb4-4022-9ef4-9885ad9b99f4,Software Testing,108.0,2.0,4.0,50.0,89.0,89.0,ed4cf2ae-f6e7-4e7a-9ab0-a45238edf50a
5233bd5a-1fb4-4022-9ef4-9885ad9b99f4,Software Testing,108.0,2.0,4.0,50.0,86.0,86.0,71377f20-bed9-410b-9fa7-142e3179e9fe
ba1779fd-d7f4-488b-8416-d5552dccc631,Data Science,144.0,6.0,6.0,100.0,85.0,85.0,6047372f-c9af-4531-8a73-8bdb89bfb063
7b96c6be-198f-40ea-a457-11b71fc95c61,Cybersecurity,84.0,1.0,3.0,33.33333333333333,21.0,21.0,c388b418-ba14-4b9e-ae1f-b6ec6159ab06
ab51c6e7-897f-40b2-8d96-9acc9628a6d7,Data Science,170.0,4.0,7.0,57.14285714285714,21.0,21.0,90496e5e-acdd-418b-ad38-ad214e7a347e
3c47df7c-1842-40b3-8899-68e3d95f41c8,DevOps,161.0,5.0,13.0,38.46153846153847,80.0,80.0,e320cc11-248f-4fa2-9896-aaab2b4bc1ab
3a339568-c338-429e-8aef-293a3ea7f5bb,DevOps,166.0,2.0,3.0,66.66666666666666,66.0,56.75,f9623129-3998-4702-9949-2c9984428449
9e83f157-d468-419d-ad33-136689153d82,UI/UX Design,174.0,0.0,1.0,0.0,29.0,56.75,106b358b-973e-42b1-9154-94214dc7f604
